City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,atuona,PF,79.9,light rain,-9.8,-139.0333,Villa Enata
2,olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
3,caravelas,BR,73.11,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
4,hamilton,US,87.04,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
5,sibolga,ID,76.75,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
6,sukumo,JP,71.19,light rain,32.9333,132.7333,Sukumojo
7,vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
8,bethel,US,76.35,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
9,avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
10,jamestown,US,79.84,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,hami,CN,78.06,overcast clouds,42.8,93.45,Laoyutang Resort
12,rikitea,PF,76.14,overcast clouds,-23.1203,-134.9692,People ThankYou
13,georgetown,MY,80.89,light rain,5.4112,100.3354,Cititel Penang
14,eydhafushi,MV,82.26,broken clouds,5.1033,73.0708,Soneva Fushi
15,westport,US,74.68,broken clouds,41.1415,-73.3579,The Westport Inn
16,kapaa,US,85.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,butaritari,KI,82.36,moderate rain,3.0707,172.7902,Isles Sunset Lodge
18,rosarito,MX,89.4,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
19,ambilobe,MG,70.39,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
20,saint-philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
21,jiazi,CN,79.27,broken clouds,22.8779,116.067,Hotel Jin Hao
22,faanui,PF,74.64,heavy intensity rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,puerto ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,sao filipe,CV,72.68,broken clouds,14.8961,-24.4956,Hotel Xaguate
