City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,bluff,NZ,-46.6,168.3333,44.24,81,3,6.85,
1,atuona,PF,-9.8,-139.0333,79.9,73,36,18.07,
2,plouzane,FR,48.3833,-4.6167,60.89,94,90,4.61,
3,port alfred,ZA,-33.5906,26.891,68.32,49,38,9.31,
4,ushuaia,AR,-54.8,-68.3,38.86,81,0,3.44,
5,punta arenas,CL,-53.15,-70.9167,41.11,87,75,9.22,
6,atlantis,ZA,-33.5667,18.4834,60.19,64,100,4.36,
7,norman wells,CA,65.282,-126.8329,64.44,52,90,4.61,
8,severo-kurilsk,RU,50.6789,156.125,49.6,77,100,7.94,
9,raudeberg,NO,61.9875,5.1352,50.86,95,96,12.64,
10,avera,US,33.194,-82.5271,87.67,56,80,13.06,
11,olinda,BR,-8.0089,-34.8553,76.73,73,40,12.66,
12,upernavik,GL,72.7868,-56.1549,35.29,92,36,12.12,
13,zhangjiakou,CN,40.81,114.8794,68.31,34,51,3.13,
14,mataura,NZ,-46.1927,168.8643,41.54,85,1,3.15,
15,caravelas,BR,-17.7125,-39.2481,73.11,81,89,6.49,
16,lasa,IT,46.6166,10.7002,58.37,94,32,5.48,
17,albany,US,42.6001,-73.9662,66.72,71,100,1.34,
18,coquimbo,CL,-29.9533,-71.3436,55.13,87,0,10.36,
19,cauas,RO,47.5667,22.55,64.45,76,76,4.16,
20,hamilton,US,39.1834,-84.5333,87.04,86,75,3.0,
21,mar del plata,AR,-38.0023,-57.5575,55.09,66,0,11.99,
22,thompson,CA,55.7435,-97.8558,68.16,45,90,11.5,
23,springbok,ZA,-29.6643,17.8865,59.2,26,89,5.23,
24,sibolga,ID,1.7427,98.7792,76.75,87,81,3.27,
25,havre-saint-pierre,CA,50.2334,-63.5986,53.96,54,75,20.71,
26,longyearbyen,SJ,78.2186,15.6401,27.19,88,21,2.37,
27,dikson,RU,73.5069,80.5464,31.95,99,100,4.74,
28,sukumo,JP,32.9333,132.7333,71.19,94,100,5.77,
29,barrow,US,71.2906,-156.7887,35.62,80,90,13.8,
30,vaini,TO,-21.2,-175.2,75.36,69,20,11.5,
31,bethel,US,41.3712,-73.414,76.35,50,46,6.69,
32,port hardy,CA,50.6996,-127.4199,59.18,63,75,24.16,
33,avarua,CK,-21.2078,-159.775,71.65,83,90,9.22,
34,husavik,IS,66.0449,-17.3389,37.31,98,100,27.47,
35,cidreira,BR,-30.1811,-50.2056,55.53,57,37,10.74,
36,cape town,ZA,-33.9258,18.4232,62.11,78,0,5.75,
37,hermanus,ZA,-34.4187,19.2345,61.9,67,100,2.13,
38,jamestown,US,42.097,-79.2353,79.84,75,27,7.0,
39,hami,CN,42.8,93.45,78.06,31,100,13.18,
40,diego de almagro,CL,-26.3667,-70.05,65.8,23,0,5.41,
41,deputatskiy,RU,69.3,139.9,53.26,42,75,6.64,
42,qaanaaq,GL,77.484,-69.3632,39.88,74,94,4.88,
43,yar-sale,RU,66.8333,70.8333,54.61,73,100,12.77,
44,rikitea,PF,-23.1203,-134.9692,76.14,84,99,11.5,
45,georgetown,MY,5.4112,100.3354,80.89,91,20,3.0,
46,kodiak,US,57.79,-152.4072,51.24,76,79,2.73,
47,eydhafushi,MV,5.1033,73.0708,82.26,76,56,13.96,
48,westport,US,41.1415,-73.3579,74.68,77,63,8.01,
49,kapaa,US,22.0752,-159.319,85.98,68,46,5.99,
